,iter,method,train_test,r2,depth
0,0,Neumann_res,train,-113484.09110179098,9.0
1,0,Neumann_res,test,-131790.32173326617,9.0
2,0,Neumann,train,-84658.62723905992,9.0
3,0,Neumann,test,-97675.99013209448,9.0
4,0,Neumann_analytic,,-690378.7559860242,0.0
5,0,Neumann_analytic,,-693112.7167129522,1.0
6,0,Neumann_analytic,,-696179.5561340089,2.0
7,0,Neumann_analytic,,-699357.1112016968,3.0
8,0,Neumann_analytic,,-702515.1231014408,4.0
9,0,Neumann_analytic,,-705578.8143964417,5.0
10,0,Neumann_analytic,,-718620.2875176019,10.0
11,0,Neumann_analytic,,-727920.6020625909,15.0
12,0,Neumann_analytic,,-734432.1595020453,20.0
13,0,Neumann_analytic,,-742327.2229366079,30.0
14,0,Neumann_analytic,,-746586.0797013106,40.0
15,0,Neumann_analytic,,-749156.7927416109,50.0
16,0,Neumann_analytic,,-754797.790135547,100.0
17,0,Bayes_rate,train,-754797.790135547,
18,0,Bayes_rate,test,-754797.790135547,
